PAGE,ALG_GUB,PREDICT_DATE,PREDICT_VIEW,REAL_VIEW
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-08-29,361382.0,106819.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-08-30,318988.0,264974.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-08-31,316963.0,744752.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-09-01,300027.0,821207.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-09-02,332461.0,203533.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-09-03,334225.0,350870.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-09-04,364531.0,274525.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-09-05,395982.0,97105.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-09-06,314175.0,347428.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-09-07,355764.0,331367.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-09-08,356935.0,168471.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-09-09,358259.0,288239.0
Special:CreateAccount_commons.wikimedia.org_all-access_all-agents,Informer,2017-09-10,308425.0,219478.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-07-09,316949.0,406411.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-07-10,310801.0,41138.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-07-11,280342.0,313498.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-07-12,302180.0,147821.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-07-13,271348.0,112248.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-07-14,296758.0,126524.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-07-15,258938.0,248980.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-07-16,242128.0,472707.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-07-17,259199.0,101251.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-07-18,141795.0,275923.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-07-19,124276.0,405741.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-07-20,184625.0,450444.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-07-21,199753.0,222549.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-07-22,158434.0,266320.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-07-23,161020.0,118714.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-07-24,302652.0,110366.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-07-25,185187.0,704068.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-07-26,301888.0,207843.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-07-27,238458.0,424439.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-07-28,245375.0,484725.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-07-29,241793.0,100495.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-07-30,283706.0,379839.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-07-31,302414.0,395706.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-08-01,231624.0,302856.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-08-02,216900.0,73855.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-08-03,259508.0,262585.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-08-04,244881.0,428218.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-08-05,127839.0,86502.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-08-06,178753.0,81477.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-08-07,166168.0,139049.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-08-08,221520.0,70261.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-08-09,233087.0,40616.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-08-10,146759.0,26515.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-08-11,120299.0,59139.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-08-12,161509.0,44987.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-08-13,145021.0,564263.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-08-14,85976.0,73330.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-08-15,53239.0,203725.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-08-16,102017.0,374389.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-08-17,206424.0,363984.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-08-18,63342.0,454869.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-08-19,99333.0,190218.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-08-20,78214.0,441259.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-08-21,97156.0,814839.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-08-22,103526.0,98735.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-08-23,128347.0,444594.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-08-24,168393.0,78892.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-08-25,141071.0,206755.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-08-26,216215.0,64273.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-08-27,260857.0,138025.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-08-28,125957.0,169405.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-08-29,297929.0,97312.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-08-30,221642.0,250009.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-08-31,241374.0,660119.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-09-01,229299.0,733949.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-09-02,220682.0,186339.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-09-03,254866.0,311816.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-09-04,263907.0,240268.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-09-05,298865.0,87008.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-09-06,242545.0,308218.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-09-07,292526.0,293404.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-09-08,306555.0,156474.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-09-09,310990.0,266777.0
Special:CreateAccount_commons.wikimedia.org_desktop_all-agents,Informer,2017-09-10,279156.0,195375.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-07-09,0.0,102050.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-07-10,108749.0,182362.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-07-11,42422.0,246055.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-07-12,97621.0,111186.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-07-13,0.0,98681.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-07-14,65369.0,141295.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-07-15,87072.0,112688.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-07-16,70607.0,108832.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-07-17,189438.0,124510.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-07-18,177935.0,173828.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-07-19,118327.0,117359.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-07-20,62514.0,87074.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-07-21,139567.0,75201.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-07-22,100616.0,89587.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-07-23,155397.0,98175.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-07-24,110375.0,91368.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-07-25,116290.0,96734.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-07-26,114527.0,78254.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-07-27,46691.0,122614.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-07-28,0.0,103220.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-07-29,0.0,73514.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-07-30,0.0,57008.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-07-31,0.0,121917.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-08-01,0.0,105319.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-08-02,0.0,99177.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-08-03,0.0,78207.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-08-04,0.0,91793.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-08-05,0.0,72696.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-08-06,51492.0,70648.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-08-07,0.0,97904.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-08-08,0.0,150790.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-08-09,0.0,83267.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-08-10,117406.0,84520.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-08-11,108390.0,291206.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-08-12,0.0,197790.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-08-13,0.0,87533.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-08-14,82482.0,80664.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-08-15,58016.0,110953.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-08-16,240967.0,100177.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-08-17,0.0,92868.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-08-18,46226.0,159314.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-08-19,95690.0,75523.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-08-20,67165.0,94048.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-08-21,128913.0,133525.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-08-22,162946.0,91408.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-08-23,157107.0,81175.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-08-24,180793.0,94585.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-08-25,209725.0,124553.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-08-26,226521.0,123559.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-08-27,147728.0,100958.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-08-28,135611.0,92816.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-08-29,98184.0,130646.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-08-30,97343.0,139030.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-08-31,87162.0,95169.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-09-01,84391.0,132866.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-09-02,97494.0,206039.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-09-03,140456.0,105586.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-09-04,160065.0,129198.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-09-05,33674.0,462962.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-09-06,118148.0,1501204.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-09-07,159429.0,572862.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-09-08,90973.0,180259.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-09-09,198363.0,165455.0
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,Informer,2017-09-10,160180.0,0.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-07-09,0.0,85332.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-07-10,91505.0,162789.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-07-11,86331.0,224853.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-07-12,75380.0,96675.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-07-13,19189.0,84663.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-07-14,43578.0,124916.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-07-15,130273.0,96401.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-07-16,76599.0,92209.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-07-17,136645.0,108277.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-07-18,107971.0,154477.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-07-19,40573.0,100565.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-07-20,75437.0,68696.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-07-21,43429.0,59379.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-07-22,96257.0,73084.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-07-23,116427.0,79254.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-07-24,58879.0,76711.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-07-25,77357.0,81095.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-07-26,74600.0,63167.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-07-27,0.0,103724.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-07-28,0.0,86164.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-07-29,0.0,58232.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-07-30,0.0,41969.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-07-31,0.0,103334.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-08-01,0.0,89871.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-08-02,0.0,83337.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-08-03,54907.0,62580.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-08-04,7824.0,76936.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-08-05,0.0,59212.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-08-06,0.0,56689.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-08-07,0.0,83633.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-08-08,0.0,135974.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-08-09,0.0,69109.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-08-10,40566.0,71173.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-08-11,1464.0,264406.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-08-12,32138.0,176924.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-08-13,31135.0,72441.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-08-14,32092.0,66476.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-08-15,32048.0,94824.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-08-16,143533.0,86403.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-08-17,195162.0,79010.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-08-18,61098.0,141848.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-08-19,62261.0,61940.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-08-20,98208.0,79213.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-08-21,93945.0,117489.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-08-22,113651.0,77143.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-08-23,120907.0,65451.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-08-24,142394.0,77931.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-08-25,191630.0,108038.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-08-26,177790.0,105316.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-08-27,61218.0,85435.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-08-28,138741.0,75226.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-08-29,69378.0,109278.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-08-30,41449.0,121176.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-08-31,93805.0,80411.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-09-01,35175.0,115817.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-09-02,41562.0,183257.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-09-03,113588.0,89451.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-09-04,117312.0,111731.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-09-05,94462.0,449560.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-09-06,115285.0,1487806.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-09-07,133922.0,557701.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-09-08,135146.0,159814.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-09-09,106840.0,146317.0
Special:CreateAccount_en.wikipedia.org_desktop_all-agents,Informer,2017-09-10,62050.0,148650.0
Spezial:Weblinksuche_de.wikipedia.org_all-access_all-agents,Informer,2017-07-09,44273.0,23844.0
Spezial:Weblinksuche_de.wikipedia.org_all-access_all-agents,Informer,2017-07-10,42359.0,46791.0
Spezial:Weblinksuche_de.wikipedia.org_all-access_all-agents,Informer,2017-07-11,39466.0,39418.0
Spezial:Weblinksuche_de.wikipedia.org_all-access_all-agents,Informer,2017-07-12,40745.0,34129.0
Spezial:Weblinksuche_de.wikipedia.org_all-access_all-agents,Informer,2017-07-13,39172.0,42478.0
Spezial:Weblinksuche_de.wikipedia.org_all-access_all-agents,Informer,2017-07-14,44619.0,41429.0
Spezial:Weblinksuche_de.wikipedia.org_all-access_all-agents,Informer,2017-07-15,52085.0,45633.0
Spezial:Weblinksuche_de.wikipedia.org_all-access_all-agents,Informer,2017-07-16,54160.0,38428.0
Spezial:Weblinksuche_de.wikipedia.org_all-access_all-agents,Informer,2017-07-17,55032.0,46731.0
Spezial:Weblinksuche_de.wikipedia.org_all-access_all-agents,Informer,2017-07-18,56177.0,33086.0
Spezial:Weblinksuche_de.wikipedia.org_all-access_all-agents,Informer,2017-07-19,51005.0,29021.0
Spezial:Weblinksuche_de.wikipedia.org_all-access_all-agents,Informer,2017-07-20,58386.0,42377.0
Spezial:Weblinksuche_de.wikipedia.org_all-access_all-agents,Informer,2017-07-21,51403.0,40811.0
Spezial:Weblinksuche_de.wikipedia.org_all-access_all-agents,Informer,2017-07-22,61965.0,41982.0
Spezial:Weblinksuche_de.wikipedia.org_all-access_all-agents,Informer,2017-07-23,60898.0,21830.0
Spezial:Weblinksuche_de.wikipedia.org_all-access_all-agents,Informer,2017-07-24,57305.0,36967.0
Spezial:Weblinksuche_de.wikipedia.org_all-access_all-agents,Informer,2017-07-25,57384.0,25273.0
Spezial:Weblinksuche_de.wikipedia.org_all-access_all-agents,Informer,2017-07-26,53370.0,38203.0
Spezial:Weblinksuche_de.wikipedia.org_all-access_all-agents,Informer,2017-07-27,63406.0,32507.0
